vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,score_type,score
0,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,True,,precision,1.0
0,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,True,,precision,0.5104568854568855
0,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.5300711360206941
0,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,,recall,0.8519077387367967
0,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,,roc_auc,0.7603376281439774
0,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,True,,roc_auc,0.5752418805340219
0,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,True,,precision,0.46078431372549017
0,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,,precision,0.07439476939388584
0,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,True,,recall,0.3760504201680672
0,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.9033613445378151
0,severe_toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,,roc_auc,0.6697269605368964
0,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,True,,roc_auc,0.5040958986255978
0,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,True,,precision,1.0
0,obscene,bern,{'alpha': 1.0},tfidf,0,0,,,True,,precision,0.8986636971046771
0,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.5342679127725857
0,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,True,,recall,0.8555295950155763
0,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,True,,roc_auc,0.7636475147703549
0,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,True,,roc_auc,0.5109431778804132
0,threat,multi,{'alpha': 0.5},tfidf,0,0,,,True,,precision,0.0
0,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,,precision,0.023288780882948563
0,threat,multi,{'alpha': 0.001},tfidf,0,0,,,True,,recall,0.17763157894736842
0,threat,bern,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.756578947368421
0,threat,multi,{'alpha': 0.001},tfidf,0,0,,,True,,roc_auc,0.5885951595226431
0,threat,bern,{'alpha': 0.1},tfidf,0,0,,,True,,roc_auc,0.5129792895383802
0,insult,multi,{'alpha': 1.0},tfidf,0,0,,,True,,precision,0.9767441860465116
0,insult,bern,{'alpha': 0.5},tfidf,0,0,,,True,,precision,0.28949934980494146
0,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.45746455379482903
0,insult,bern,{'alpha': 0.1},tfidf,0,0,,,True,,recall,0.8494578815679733
0,insult,multi,{'alpha': 0.01},tfidf,0,0,,,True,,roc_auc,0.7246744976494267
0,insult,bern,{'alpha': 2.0},tfidf,0,0,,,True,,roc_auc,0.5061118672146663
0,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,True,,precision,0.42857142857142855
0,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,True,,precision,0.17411300919842312
0,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,True,,recall,0.2219626168224299
0,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,True,,recall,0.7873831775700935
0,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,True,,roc_auc,0.5846357579594307
0,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,True,,roc_auc,0.4997780830603403
1,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,False,,precision,1.0
1,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,False,,precision,0.6969847994019437
1,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.5527053244233671
1,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,,recall,0.8454408277646044
1,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,False,,roc_auc,0.7686735605041854
1,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,False,,roc_auc,0.5695255742244067
1,severe_toxic,multi,{'alpha': 0.0},tfidf,0,0,,,False,,precision,0.39509536784741145
1,severe_toxic,bern,{'alpha': 0.1},tfidf,0,0,,,False,,precision,0.10607245243679958
1,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,,recall,0.43487394957983194
1,severe_toxic,bern,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.9033613445378151
1,severe_toxic,multi,{'alpha': 0.001},tfidf,0,0,,,False,,roc_auc,0.7128883467830612
1,severe_toxic,bern,{'alpha': 0.5},tfidf,0,0,,,False,,roc_auc,0.5222100963007752
1,obscene,multi,{'alpha': 2.0},tfidf,0,0,,,False,,precision,0.9924242424242424
1,obscene,bern,{'alpha': 0.5},tfidf,0,0,,,False,,precision,0.40012845215157355
1,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.544392523364486
1,obscene,bern,{'alpha': 0.1},tfidf,0,0,,,False,,recall,0.8469626168224299
1,obscene,multi,{'alpha': 0.01},tfidf,0,0,,,False,,roc_auc,0.7649688128720604
1,obscene,bern,{'alpha': 2.0},tfidf,0,0,,,False,,roc_auc,0.5175405096483561
1,threat,multi,{'alpha': 0.5},tfidf,0,0,,,False,,precision,1.0
1,threat,bern,{'alpha': 0.0},tfidf,0,0,,,False,,precision,0.038643533123028394
1,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,,recall,0.17105263157894737
1,threat,bern,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.7302631578947368
1,threat,multi,{'alpha': 0.001},tfidf,0,0,,,False,,roc_auc,0.5849169568770743
1,threat,bern,{'alpha': 0.1},tfidf,0,0,,,False,,roc_auc,0.538286484950162
1,insult,multi,{'alpha': 2.0},tfidf,0,0,,,False,,precision,1.0
1,insult,bern,{'alpha': 0.5},tfidf,0,0,,,False,,precision,0.4080259222333001
1,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.4854045037531276
1,insult,bern,{'alpha': 0.1},tfidf,0,0,,,False,,recall,0.8440366972477065
1,insult,multi,{'alpha': 0.01},tfidf,0,0,,,False,,roc_auc,0.7350608360644565
1,insult,bern,{'alpha': 2.0},tfidf,0,0,,,False,,roc_auc,0.5135920780089189
1,identity_hate,multi,{'alpha': 0.0},tfidf,0,0,,,False,,precision,0.33
1,identity_hate,bern,{'alpha': 0.1},tfidf,0,0,,,False,,precision,0.15856394913986538
1,identity_hate,multi,{'alpha': 0.001},tfidf,0,0,,,False,,recall,0.2523364485981308
1,identity_hate,bern,{'alpha': 0.01},tfidf,0,0,,,False,,recall,0.7686915887850467
1,identity_hate,multi,{'alpha': 0.01},tfidf,0,0,,,False,,roc_auc,0.6013934991274428
1,identity_hate,bern,{'alpha': 0.5},tfidf,0,0,,,False,,roc_auc,0.5028706244981684
2,toxic,multi,{'alpha': 10.0},tfidf,0,0,,,True,ascii,precision,1.0
2,toxic,bern,{'alpha': 1.0},tfidf,0,0,,,True,ascii,precision,0.503078137332281
2,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,recall,0.5285621901271825
2,toxic,bern,{'alpha': 0.1},tfidf,0,0,,,True,ascii,recall,0.8521233024358698
2,toxic,multi,{'alpha': 0.01},tfidf,0,0,,,True,ascii,roc_auc,0.7595831551972215
2,toxic,bern,{'alpha': 2.0},tfidf,0,0,,,True,ascii,roc_auc,0.5773013355267379
